@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
190,'2024/02/28 01:11:19:811',1,0.004049,0.000321,0.003821,0.192922,0.085468,-2.636863,1,0,0
191,'2024/02/28 01:11:19:844',1,0.013404,0.00083,-0.000949,0.193037,0.085313,-2.636805,1,0,0
192,'2024/02/28 01:11:19:878',1,0.007862,0.002177,0.003362,0.193678,0.084484,-2.636256,1,0,0
193,'2024/02/28 01:11:19:911',1,-0.003102,0.002222,0.009095,0.194314,0.083972,-2.635964,1,0,0
194,'2024/02/28 01:11:19:944',1,-0.002842,0.002069,0.014329,0.194486,0.083943,-2.636077,1,0,0
195,'2024/02/28 01:11:19:978',1,-0.000987,-0.00045,0.010686,0.194173,0.084257,-2.636496,1,0,0
196,'2024/02/28 01:11:20:011',1,0.005888,0.001834,0.002957,0.193951,0.084494,-2.63689,1,0,0
197,'2024/02/28 01:11:20:044',1,0.007564,0.000685,0.006155,0.193852,0.084433,-2.636958,1,0,0
198,'2024/02/28 01:11:20:077',1,0.004237,0.002258,0.00468,0.193823,0.084074,-2.636741,1,0,0
199,'2024/02/28 01:11:20:111',1,-0.00299,0.003901,0.009411,0.194004,0.084009,-2.636756,1,0,0
200,'2024/02/28 01:11:20:144',1,-0.000096,0.001179,0.011377,0.193855,0.084272,-2.63698,1,0,0
201,'2024/02/28 01:11:20:177',1,0.009139,-0.001184,0.006366,0.193379,0.08464,-2.637248,1,0,0
202,'2024/02/28 01:11:20:210',1,0.002149,0.004561,0.005323,0.193029,0.084776,-2.63728,1,0,0
203,'2024/02/28 01:11:20:244',1,0.001319,0.003008,0.005578,0.192768,0.085059,-2.637401,1,0,0
204,'2024/02/28 01:11:20:278',1,0.000832,0.001133,0.005311,0.192459,0.085676,-2.637653,1,0,0
205,'2024/02/28 01:11:20:310',1,0.003928,0.002922,0.005284,0.192199,0.08622,-2.637907,1,0,0
206,'2024/02/28 01:11:20:343',1,0.005201,0.000792,0.006658,0.192049,0.086554,-2.637949,1,0,0
207,'2024/02/28 01:11:20:377',1,0.004543,0.000131,0.006435,0.191796,0.086692,-2.637745,1,0,0
208,'2024/02/28 01:11:20:410',1,-0.00405,0.002879,0.007441,0.191548,0.086892,-2.637705,1,0,0
209,'2024/02/28 01:11:20:444',1,0.000785,0.001349,0.008983,0.191217,0.087435,-2.637956,1,0,0
210,'2024/02/28 01:11:20:479',1,0.006144,0.000763,0.004109,0.190667,0.088187,-2.638369,1,0,0
211,'2024/02/28 01:11:20:510',1,0.00798,0.000743,0.002069,0.190445,0.088272,-2.638374,1,0,0
212,'2024/02/28 01:11:20:543',1,-0.001934,0.002161,0.005272,0.19049,0.08819,-2.638281,1,0,0
213,'2024/02/28 01:11:20:583',1,0.00103,0.003618,0.009187,0.190513,0.08839,-2.63843,1,0,0
214,'2024/02/28 01:11:20:610',1,0.002291,0.001625,0.007764,0.190162,0.08867,-2.638738,1,0,0
215,'2024/02/28 01:11:37:946',2,-0.146437,0.000706,0.415517,0.126424,-3.100341,-1.219162,0,1,0
216,'2024/02/28 01:11:37:977',2,-0.115909,0.042265,0.212495,0.193308,-3.119718,-1.211399,0,1,0
217,'2024/02/28 01:11:38:010',2,-0.097367,0.090525,0.063467,0.259978,3.140139,-1.198182,0,1,0
218,'2024/02/28 01:11:38:045',2,0.055041,0.130358,-0.310675,0.336793,3.136697,-1.18982,0,1,0
219,'2024/02/28 01:11:38:078',2,0.016232,0.085098,-0.437941,0.382406,-3.138044,-1.187538,0,1,0
220,'2024/02/28 01:11:38:111',2,0.092086,0.085516,-0.523823,0.401234,-3.136239,-1.182071,0,1,0
221,'2024/02/28 01:11:38:145',2,0.123769,0.128145,-0.682017,0.381914,-3.119617,-1.182232,0,1,0
